Species,Site,Chl.a,Chl.c
Carpophyllum flexuosum,Stewart Island,0.855537415,0.149241454
Carpophyllum flexuosum,Stewart Island,1.923981178,0.264109152
Carpophyllum flexuosum,Stewart Island,1.265741823,0.248687952
Carpophyllum flexuosum,Stewart Island,0.973329903,0.192894781
Carpophyllum flexuosum,Stewart Island,1.990872521,0.337927034
Landsburgia quercifolia ,Stewart Island,0.368938127,0.112488768
Landsburgia quercifolia ,Stewart Island,0.421727747,0.139730246
Landsburgia quercifolia ,Stewart Island,0.814070006,0.102299768
Landsburgia quercifolia ,Stewart Island,1.085969576,0.225787778
Landsburgia quercifolia ,Stewart Island,0.998771107,0.290829371
Cystophora platylobium,Stewart Island,0.277341534,0.05888337
Cystophora platylobium,Stewart Island,1.214608819,0.102571786
Cystophora platylobium,Stewart Island,2.686195627,0.225333117
Cystophora platylobium,Stewart Island,0.974357264,0.020792375
Cystophora platylobium,Stewart Island,0.864516422,0.054350606
Marginariella boryana,Stewart Island,2.174535157,0.228797545
Marginariella boryana,Stewart Island,1.315173046,0.172601814
Marginariella boryana,Stewart Island,1.256082304,0.158477245
Marginariella boryana,Stewart Island,1.738837833,0.231355514
Marginariella boryana,Stewart Island,1.927891791,0.200752494
Xiphophora gladiata,Stewart Island,1.7928881,0.305937633
Xiphophora gladiata,Stewart Island,1.322813497,0.281530179
Xiphophora gladiata,Stewart Island,0.43955288,0.124728199
Xiphophora gladiata,Stewart Island,1.651694627,0.234906619
Xiphophora gladiata,Stewart Island,1.361125058,0.14734365
Macrocystis pyrifera,Stewart Island,0.870344717,0.15499591
Macrocystis pyrifera,Stewart Island,4.867415194,0.877177471
Macrocystis pyrifera,Stewart Island,1.232231165,0.208480277
Macrocystis pyrifera,Stewart Island,1.683438844,0.272968046
Macrocystis pyrifera,Stewart Island,1.56299015,0.21233035
Sargassum sinclairii,Stewart Island,1.964241747,0.487983545
Sargassum sinclairii,Stewart Island,2.788469664,0.616881372
Sargassum sinclairii,Stewart Island,3.174156529,0.544959445
Sargassum sinclairii,Stewart Island,0.628022882,0.198656817
Sargassum sinclairii,Stewart Island,0.673310621,0.207845813
Dictyota kunthii,Stewart Island,1.389779992,0.284363942
Dictyota kunthii,Stewart Island,4.488580394,0.615826863
Dictyota kunthii,Stewart Island,2.379107998,0.361040881
Dictyota kunthii,Stewart Island,7.204215298,0.037475119
Dictyota kunthii,Stewart Island,2.373511658,0.255030564
Laminaria solidungula,Kongsfjorden,0.5827012,0.10286771
Laminaria solidungula,Kongsfjorden,0.6013499,0.09761163
Laminaria solidungula,Kongsfjorden,0.4744068,0.06898305
Laminaria solidungula,Kongsfjorden,0.5552117,0.0764658
Laminaria solidungula,Kongsfjorden,1.3510363,0.26088083
Laminaria solidungula,Kongsfjorden,1.5003868,0.26499033
Saccharina latissima,Kongsfjorden,0.8174648,0.11042254
Saccharina latissima,Kongsfjorden,0.9590389,0.14347826
Saccharina latissima,Kongsfjorden,0.7893281,0.11146245
Saccharina latissima,Kongsfjorden,0.7061176,0.10505882
Saccharina latissima,Kongsfjorden,0.5839106,0.08905028
Saccharina latissima,Kongsfjorden,1.1167401,0.15682819
Saccharina latissima,Kongsfjorden,0.8203568,0.13221406
Saccharina latissima,Kongsfjorden,0.4679302,0.07922669
Saccharina latissima,Kongsfjorden,1.1278207,0.19335394
Laminaria solidungula,Kongsfjorden,0.7383598,0.13677249
Laminaria solidungula,Kongsfjorden,0.3599551,0.07290419
Laminaria solidungula,Kongsfjorden,0.5237223,0.08707811
Laminaria solidungula,Kongsfjorden,1.4664948,0.26159794
Laminaria solidungula,Kongsfjorden,1.8091691,0.3504298
Laminaria solidungula,Kongsfjorden,0.7367478,0.12791293
Saccharina latissima,Kongsfjorden,1.5490826,0.18715596
Saccharina latissima,Kongsfjorden,0.7521127,0.09342723
Saccharina latissima,Kongsfjorden,0.5454976,0.06919431
Saccharina latissima,Kongsfjorden,1.1,0.1556553
Saccharina latissima,Kongsfjorden,0.9166403,0.11236133
Saccharina latissima,Kongsfjorden,1.55131,0.21331878
Saccharina latissima,Kongsfjorden,1.367036,0.25817175
Saccharina latissima,Kongsfjorden,2.3578512,0.31652893
Saccharina latissima,Kongsfjorden,0.9727862,0.26911447
