Reference,Ecosystem,Parameter,Fate,Carbon
Hansen et al. 1992,Macroalgal forests,E,Exported,14.6
Josselyn et al. 1983,Macroalgal forests,E,Exported,16.06
Josselyn et al. 1983,Macroalgal forests,E,Exported,4.015
Kilar and Norris 1988,Macroalgal forests,E,Exported,65.7
Kilar and Norris 1988,Macroalgal forests,E,Exported,226.3
Kilar and Norris 1988,Macroalgal forests,E,Exported,10.22
Kilar and Norris 1988,Macroalgal forests,E,Exported,51.1
Kilar and Norris 1988,Macroalgal forests,E,Exported,2.92
Kilar and Norris 1988,Macroalgal forests,E,Exported,98.55
Kilar and Norris 1988,Macroalgal forests,E,Exported,83.95
Kilar and Norris 1988,Macroalgal forests,E,Exported,43.8
Koop et al. 1982,Macroalgal forests,E,Exported,200.75
Mann 1972,Macroalgal forests,E,Exported,496.4
Mann 1985,Macroalgal forests,E,Exported,28.105
Marsden 1991,Macroalgal forests,E,Exported,1065.8
Ormond and Banaimoon 1994,Macroalgal forests,E,Exported,116.8
Polunin and Kumpp 1992,Macroalgal forests,E,Exported,244.55
Smale et al. 2021,Macroalgal forests,E,Exported,567
Smale et al. 2021,Macroalgal forests,E,Exported,472
Smale et al. 2021,Macroalgal forests,E,Exported,418
Smale et al. 2021,Macroalgal forests,E,Exported,219
Smale et al. 2021,Macroalgal forests,E,Exported,163
Smale et al. 2021,Macroalgal forests,E,Exported,98
Smale et al. 2021,Macroalgal forests,E,Exported,223
Smale et al. 2021,Macroalgal forests,E,Exported,219
Bach et al. 1986,Seagrass meadows,E,Exported,73
Bach et al. 1986,Seagrass meadows,E,Exported,9.125
Bach et al. 1986,Seagrass meadows,E,Exported,7.3
Bach et al. 1986,Seagrass meadows,E,Exported,43.8
Bach et al. 1986,Seagrass meadows,E,Exported,24.455
Cebrian et al. 2000,Seagrass meadows,E,Exported,83.95
Fry and Virsntein 1988,Seagrass meadows,E,Exported,124.1
Greenway 1976,Seagrass meadows,E,Exported,87.6
Jacobs et al. 1981,Seagrass meadows,E,Exported,0.5475
Josselyn et al. 1983,Seagrass meadows,E,Exported,15.33
Josselyn et al. 1983,Seagrass meadows,E,Exported,11.68
Kilar and Norris 1988,Seagrass meadows,E,Exported,135.05
Kirkman and Reid 1979,Seagrass meadows,E,Exported,18.615
Klumpp et al. 1989,Seagrass meadows,E,Exported,109.5
Ott 1980,Seagrass meadows,E,Exported,682.55
Ott and Maurer 1977,Seagrass meadows,E,Exported,175.2
Pergent et al. 1994,Seagrass meadows,E,Exported,40.15
Zieman et al. 1979,Seagrass meadows,E,Exported,36.5
Zieman et al. 1979,Seagrass meadows,E,Exported,4.015
Bach et al. 1986,Marshes,E,Exported,124.1
Bach et al. 1986,Marshes,E,Exported,32.485
Bach et al. 1986,Marshes,E,Exported,40.15
Cahoon and Stevenson 1986,Marshes,E,Exported,6.205
Day et al. 1973*,Marshes,E,Exported,226.3
Hopkinson et al. 1978,Marshes,E,Exported,27.01
Hopkinson et al. 1978,Marshes,E,Exported,47.45
Hopkinson et al. 1978,Marshes,E,Exported,481.8
Hopkinson et al. 1978,Marshes,E,Exported,54.75
Hopkinson et al. 1978,Marshes,E,Exported,200.75
Howes et al. 1985*,Marshes,E,Exported,113.15
Lee 1990,Marshes,E,Exported,0.12045
McLuscky 1981*,Marshes,E,Exported,58.4
McLuscky 1981*,Marshes,E,Exported,51.1
Schlesinger 1991*,Marshes,E,Exported,142.35
Schlesinger 1991*,Marshes,E,Exported,430.7
Schlesinger 1991*,Marshes,E,Exported,164.25
Schlesinger 1991*,Marshes,E,Exported,116.8
Schlesinger 1991*,Marshes,E,Exported,98.55
Teal 1962*,Marshes,E,Exported,365
White et al. 1978,Marshes,E,Exported,25.915
White et al. 1978,Marshes,E,Exported,427.05
Williams et al. 1992*,Marshes,E,Exported,251.85
Williams et al. 1992*,Marshes,E,Exported,492.75
Auclair et al. 1976,Grasslands,E,Exported,16.425
Billings 1987*,Grasslands,E,Exported,2.0002
Bliss 1975,Grasslands,E,Exported,0.74095
Heal 1972*,Grasslands,E,Exported,0.74095
Peterson et al. 1986*,Grasslands,E,Exported,3.65
Emmerson and McGwynne 1992,Mangrove forests,E,Exported,13.14
Flores-Verdugo et al. 1987,Mangrove forests,E,Exported,419.75
Golley et al. 1962,Mangrove forests,E,Exported,416.1
Lee 1989,Mangrove forests,E,Exported,4.38
Li and Lee 1998,Mangrove forests,E,Exported,394.2
Lugo et al. 1988*,Mangrove forests,E,Exported,197.1
Robertson and Daniel 1989,Mangrove forests,E,Exported,223.0004
Twilley et al. 1986,Mangrove forests,E,Exported,189.8
Twilley et al. 1986,Mangrove forests,E,Exported,76.65
Twilley et al. 1986,Mangrove forests,E,Exported,25.55
Van der Walk and Attiwill 1984,Mangrove forests,E,Exported,40.15
Frangi and Lugo 1985 ¶,Terrestrial forests,E,Exported,11.972
Gosz et al.1978* ¶,Terrestrial forests,E,Exported,4.4165
Megonigal and Day 1988* ¶,Terrestrial forests,E,Exported,4.7085
Megonigal and Day 1988*¶,Terrestrial forests,E,Exported,4.7085
Megonigal and Day 1988*¶,Terrestrial forests,E,Exported,3.32515
Megonigal and Day 1988*¶,Terrestrial forests,E,Exported,4.1975
