Reference,DOI,Plant,Farmed,Taxon,Species,Cover
Scheibling and Gagnon 2009,10.3354/meps08207,Saccharina longicruris,No,Bryozoa,Membranipora membranacea,1.8178911
Scheibling and Gagnon 2009,10.3354/meps08207,Saccharina longicruris,No,Bryozoa,Membranipora membranacea,0.06333899
Scheibling and Gagnon 2009,10.3354/meps08207,Saccharina longicruris,No,Bryozoa,Membranipora membranacea,0.38655412
Scheibling and Gagnon 2009,10.3354/meps08207,Saccharina longicruris,No,Bryozoa,Membranipora membranacea,23.235785
Scheibling and Gagnon 2009,10.3354/meps08207,Saccharina longicruris,No,Bryozoa,Membranipora membranacea,0.262981
Scheibling and Gagnon 2009,10.3354/meps08207,Saccharina longicruris,No,Bryozoa,Membranipora membranacea,0.10665168
Scheibling and Gagnon 2009,10.3354/meps08207,Saccharina longicruris,No,Bryozoa,Membranipora membranacea,2.9828317
Scheibling and Gagnon 2009,10.3354/meps08207,Saccharina longicruris,No,Bryozoa,Membranipora membranacea,20.716507
Scheibling and Gagnon 2009,10.3354/meps08207,Saccharina longicruris,No,Bryozoa,Membranipora membranacea,48.83312
Scheibling and Gagnon 2009,10.3354/meps08207,Saccharina longicruris,No,Bryozoa,Membranipora membranacea,0.5998575
Scheibling and Gagnon 2009,10.3354/meps08207,Saccharina longicruris,No,Bryozoa,Membranipora membranacea,0.4425967
Scheibling and Gagnon 2009,10.3354/meps08207,Saccharina longicruris,No,Bryozoa,Membranipora membranacea,0.60622245
Scheibling and Gagnon 2009,10.3354/meps08207,Saccharina longicruris,No,Bryozoa,Membranipora membranacea,1.8846455
Scheibling and Gagnon 2009,10.3354/meps08207,Saccharina longicruris,No,Bryozoa,Membranipora membranacea,25.608822
Scheibling and Gagnon 2009,10.3354/meps08207,Saccharina longicruris,No,Bryozoa,Membranipora membranacea,20.819588
Scheibling and Gagnon 2009,10.3354/meps08207,Saccharina longicruris,No,Bryozoa,Membranipora membranacea,13.954061
Scheibling and Gagnon 2009,10.3354/meps08207,Saccharina longicruris,No,Bryozoa,Membranipora membranacea,1.8961334
Scheibling and Gagnon 2009,10.3354/meps08207,Saccharina longicruris,No,Bryozoa,Membranipora membranacea,1.1806978
Scheibling and Gagnon 2009,10.3354/meps08207,Saccharina longicruris,No,Bryozoa,Membranipora membranacea,1.1823277
Scheibling and Gagnon 2009,10.3354/meps08207,Saccharina longicruris,No,Bryozoa,Membranipora membranacea,0.70542246
Scheibling and Gagnon 2009,10.3354/meps08207,Saccharina longicruris,No,Bryozoa,Membranipora membranacea,82.49709
Scheibling and Gagnon 2009,10.3354/meps08207,Saccharina longicruris,No,Bryozoa,Membranipora membranacea,74.67015
Scheibling and Gagnon 2009,10.3354/meps08207,Saccharina longicruris,No,Bryozoa,Membranipora membranacea,18.366522
Scheibling and Gagnon 2009,10.3354/meps08207,Saccharina longicruris,No,Bryozoa,Membranipora membranacea,1.1983178
Scheibling and Gagnon 2009,10.3354/meps08207,Saccharina longicruris,No,Bryozoa,Membranipora membranacea,25.564655
Scheibling and Gagnon 2009,10.3354/meps08207,Saccharina longicruris,No,Bryozoa,Membranipora membranacea,0.28277445
Scheibling and Gagnon 2009,10.3354/meps08207,Saccharina longicruris,No,Bryozoa,Membranipora membranacea,1.2822264
Scheibling and Gagnon 2009,10.3354/meps08207,Saccharina longicruris,No,Bryozoa,Membranipora membranacea,28.362904
Scheibling and Gagnon 2009,10.3354/meps08207,Saccharina longicruris,No,Bryozoa,Membranipora membranacea,0
Scheibling and Gagnon 2009,10.3354/meps08207,Saccharina longicruris,No,Bryozoa,Membranipora membranacea,0
Scheibling and Gagnon 2009,10.3354/meps08207,Saccharina longicruris,No,Bryozoa,Membranipora membranacea,0.18225484
Scheibling and Gagnon 2009,10.3354/meps08207,Saccharina longicruris,No,Bryozoa,Membranipora membranacea,6.1755514
Scheibling and Gagnon 2009,10.3354/meps08207,Saccharina longicruris,No,Bryozoa,Membranipora membranacea,16.161377
Scheibling and Gagnon 2009,10.3354/meps08207,Saccharina longicruris,No,Bryozoa,Membranipora membranacea,0
Scheibling and Gagnon 2009,10.3354/meps08207,Saccharina longicruris,No,Bryozoa,Membranipora membranacea,0
Scheibling and Gagnon 2009,10.3354/meps08207,Saccharina longicruris,No,Bryozoa,Membranipora membranacea,0
Scheibling and Gagnon 2009,10.3354/meps08207,Saccharina longicruris,No,Bryozoa,Membranipora membranacea,4.439551
Scheibling and Gagnon 2009,10.3354/meps08207,Saccharina longicruris,No,Bryozoa,Membranipora membranacea,8.434953
Scheibling and Gagnon 2009,10.3354/meps08207,Saccharina longicruris,No,Bryozoa,Membranipora membranacea,35.43529
Scheibling and Gagnon 2009,10.3354/meps08207,Saccharina longicruris,No,Bryozoa,Membranipora membranacea,0.057750255
Scheibling and Gagnon 2009,10.3354/meps08207,Saccharina longicruris,No,Bryozoa,Membranipora membranacea,0
Scheibling and Gagnon 2009,10.3354/meps08207,Saccharina longicruris,No,Bryozoa,Membranipora membranacea,0
Scheibling and Gagnon 2009,10.3354/meps08207,Saccharina longicruris,No,Bryozoa,Membranipora membranacea,17.002327
Scheibling and Gagnon 2009,10.3354/meps08207,Saccharina longicruris,No,Bryozoa,Membranipora membranacea,41.926296
Zagal et al. 2013,10.1007/s10750-013-1627-1,Ecklonia radiata,No,Hydrozoa,Obelia spp.,5.48121
Zagal et al. 2013,10.1007/s10750-013-1627-1,Ecklonia radiata,No,Hydrozoa,Obelia spp.,4.436296925
Zagal et al. 2013,10.1007/s10750-013-1627-1,Ecklonia radiata,No,Hydrozoa,Obelia spp.,3.70302485
Zagal et al. 2013,10.1007/s10750-013-1627-1,Ecklonia radiata,No,Hydrozoa,Obelia spp.,4.06966085
Zagal et al. 2013,10.1007/s10750-013-1627-1,Ecklonia radiata,No,Hydrozoa,Obelia spp.,6.2694772
Zagal et al. 2013,10.1007/s10750-013-1627-1,Ecklonia radiata,No,Hydrozoa,Obelia spp.,4.7112741
