Reference,DOI,Plant,Farmed,Taxon,Species,Cover
Hepburn and Hurd 2005,10.3354/meps302037,Macrocystis pyrifera,No,Mix,Membranipora membranacea and Obelia geniculata,32.41109543
Hepburn and Hurd 2005,10.3354/meps302037,Macrocystis pyrifera,No,Mix,Membranipora membranacea and Obelia geniculata,67.48264501
Hepburn and Hurd 2005,10.3354/meps302037,Macrocystis pyrifera,No,Mix,Membranipora membranacea and Obelia geniculata,2.992856797
Hepburn and Hurd 2005,10.3354/meps302037,Macrocystis pyrifera,No,Mix,Membranipora membranacea and Obelia geniculata,7.654524157
Hepburn and Hurd 2005,10.3354/meps302037,Macrocystis pyrifera,No,Mix,Membranipora membranacea and Obelia geniculata,34.14192812
Hepburn and Hurd 2005,10.3354/meps302037,Macrocystis pyrifera,No,Mix,Membranipora membranacea and Obelia geniculata,16.36644582
Hepburn and Hurd 2005,10.3354/meps302037,Macrocystis pyrifera,No,Mix,Membranipora membranacea and Obelia geniculata,2.321037867
Hepburn and Hurd 2005,10.3354/meps302037,Macrocystis pyrifera,No,Mix,Membranipora membranacea and Obelia geniculata,7.970492867
Jennings and Steinberg 1997,10.1007/s004420050106,Ecklonia radiata,No,Hydrozoa,NA,0.340482137
Jennings and Steinberg 1997,10.1007/s004420050106,Ecklonia radiata,No,Hydrozoa,NA,0.156932142
Jennings and Steinberg 1997,10.1007/s004420050106,Ecklonia radiata,No,Hydrozoa,NA,0.352791187
Jennings and Steinberg 1997,10.1007/s004420050106,Ecklonia radiata,No,Hydrozoa,NA,0.238642047
Jennings and Steinberg 1997,10.1007/s004420050106,Ecklonia radiata,No,Hydrozoa,NA,0
Jennings and Steinberg 1997,10.1007/s004420050106,Ecklonia radiata,No,Hydrozoa,NA,0
Jennings and Steinberg 1997,10.1007/s004420050106,Ecklonia radiata,No,Hydrozoa,NA,0
Jennings and Steinberg 1997,10.1007/s004420050106,Ecklonia radiata,No,Hydrozoa,NA,0
Marzinelli et al. 2009,10.1890/08-1893.1,Ecklonia radiata,No,Mix,Membranipora membranacea and Obelia spp.,12.298197
Marzinelli et al. 2009,10.1890/08-1893.1,Ecklonia radiata,No,Mix,Membranipora membranacea and Obelia spp.,12.4855677
Marzinelli et al. 2009,10.1890/08-1893.1,Ecklonia radiata,No,Mix,Membranipora membranacea and Obelia spp.,9.8716002
Marzinelli et al. 2009,10.1890/08-1893.1,Ecklonia radiata,No,Mix,Membranipora membranacea and Obelia spp.,17.6854937
Marzinelli et al. 2009,10.1890/08-1893.1,Ecklonia radiata,No,Mix,Membranipora membranacea and Obelia spp.,8.5076134
Marzinelli et al. 2009,10.1890/08-1893.1,Ecklonia radiata,No,Mix,Membranipora membranacea and Obelia spp.,6.6536323
Marzinelli et al. 2009,10.1890/08-1893.1,Ecklonia radiata,No,Mix,Membranipora membranacea and Obelia spp.,11.427293
Marzinelli et al. 2009,10.1890/08-1893.1,Ecklonia radiata,No,Mix,Membranipora membranacea and Obelia spp.,12.3022336
Marzinelli et al. 2011,10.1371/journal.pone.0021936,Ecklonia radiata,No,Bryozoa,Membranipora membranacea,3.1276615
Marzinelli et al. 2011,10.1371/journal.pone.0021936,Ecklonia radiata,No,Bryozoa,Membranipora membranacea,11.23286
Marzinelli et al. 2011,10.1371/journal.pone.0021936,Ecklonia radiata,No,Bryozoa,Membranipora membranacea,17.234133
Marzinelli et al. 2011,10.1371/journal.pone.0021936,Ecklonia radiata,No,Bryozoa,Membranipora membranacea,0.5798692
Marzinelli et al. 2011,10.1371/journal.pone.0021936,Ecklonia radiata,No,Bryozoa,Membranipora membranacea,0.11547157
Marzinelli et al. 2011,10.1371/journal.pone.0021936,Ecklonia radiata,No,Bryozoa,Membranipora membranacea,16.995512
Marzinelli et al. 2011,10.1371/journal.pone.0021936,Ecklonia radiata,No,Bryozoa,Membranipora membranacea,0.31561798
Marzinelli et al. 2011,10.1371/journal.pone.0021936,Ecklonia radiata,No,Bryozoa,Membranipora membranacea,0.6722336
Marzinelli et al. 2011,10.1371/journal.pone.0021936,Ecklonia radiata,No,Bryozoa,Membranipora membranacea,15.166156
Marzinelli et al. 2011,10.1371/journal.pone.0021936,Ecklonia radiata,No,Bryozoa,Membranipora membranacea,0.6615776
Marzinelli et al. 2011,10.1371/journal.pone.0021936,Ecklonia radiata,No,Bryozoa,Membranipora membranacea,0.6615776
Marzinelli et al. 2011,10.1371/journal.pone.0021936,Ecklonia radiata,No,Bryozoa,Membranipora membranacea,3.2569973
Marzinelli et al. 2011,10.1371/journal.pone.0021936,Ecklonia radiata,No,Bryozoa,Membranipora membranacea,1.832061
Marzinelli 2012,10.1080/08927014.2012.674518,Ecklonia radiata,No,Bryozoa,Membranipora membranacea,0.10342376
Marzinelli 2012,10.1080/08927014.2012.674518,Ecklonia radiata,No,Bryozoa,Membranipora membranacea,0.92095375
Marzinelli 2012,10.1080/08927014.2012.674518,Ecklonia radiata,No,Bryozoa,Membranipora membranacea,1.2241654
Marzinelli 2012,10.1080/08927014.2012.674518,Ecklonia radiata,No,Bryozoa,Membranipora membranacea,0.91935784
Marzinelli 2012,10.1080/08927014.2012.674518,Ecklonia radiata,No,Bryozoa,Membranipora membranacea,0.77835083
Marzinelli 2012,10.1080/08927014.2012.674518,Ecklonia radiata,No,Bryozoa,Membranipora membranacea,1.4917554
Marzinelli 2012,10.1080/08927014.2012.674518,Ecklonia radiata,No,Bryozoa,Membranipora membranacea,1.9571136
Marzinelli 2012,10.1080/08927014.2012.674518,Ecklonia radiata,No,Bryozoa,Membranipora membranacea,3.7872965
Marzinelli 2012,10.1080/08927014.2012.674518,Ecklonia radiata,No,Bryozoa,Membranipora membranacea,1.3141176
Marzinelli 2012,10.1080/08927014.2012.674518,Ecklonia radiata,No,Bryozoa,Membranipora membranacea,1.215448
Marzinelli et al. 2012,10.3354/meps09472,Ecklonia radiata,No,Bryozoa,Membranipora membranacea,3.5981672
Marzinelli et al. 2012,10.3354/meps09472,Ecklonia radiata,No,Bryozoa,Membranipora membranacea,5.8422265
Marzinelli et al. 2012,10.3354/meps09472,Ecklonia radiata,No,Bryozoa,Membranipora membranacea,0
Marzinelli et al. 2012,10.3354/meps09472,Ecklonia radiata,No,Bryozoa,Membranipora membranacea,0.6204536
Marzinelli et al. 2012,10.3354/meps09472,Ecklonia radiata,No,Bryozoa,Membranipora membranacea,0
Marzinelli et al. 2012,10.3354/meps09472,Ecklonia radiata,No,Bryozoa,Membranipora membranacea,0.20060141
Marzinelli et al. 2012,10.3354/meps09472,Ecklonia radiata,No,Bryozoa,Membranipora membranacea,0
Marzinelli et al. 2012,10.3354/meps09472,Ecklonia radiata,No,Bryozoa,Membranipora membranacea,0
Marzinelli et al. 2012,10.3354/meps09472,Ecklonia radiata,No,Bryozoa,Membranipora membranacea,0
Marzinelli et al. 2012,10.3354/meps09472,Ecklonia radiata,No,Bryozoa,Membranipora membranacea,0.7218935
Marzinelli et al. 2012,10.3354/meps09472,Ecklonia radiata,No,Bryozoa,Membranipora membranacea,0.46153846
Marzinelli et al. 2012,10.3354/meps09472,Ecklonia radiata,No,Bryozoa,Membranipora membranacea,2.0236685
Marzinelli et al. 2012,10.3354/meps09472,Ecklonia radiata,No,Bryozoa,Membranipora membranacea,0
Marzinelli et al. 2012,10.3354/meps09472,Ecklonia radiata,No,Bryozoa,Membranipora membranacea,0
Marzinelli et al. 2012,10.3354/meps09472,Ecklonia radiata,No,Bryozoa,Membranipora membranacea,0
Marzinelli et al. 2012,10.3354/meps09472,Ecklonia radiata,No,Bryozoa,Membranipora membranacea,0
Marzinelli et al. 2012,10.3354/meps09472,Ecklonia radiata,No,Bryozoa,Membranipora membranacea,0
Marzinelli et al. 2012,10.3354/meps09472,Ecklonia radiata,No,Bryozoa,Membranipora membranacea,0
Matsson et al. 2019,10.1016/j.aquaculture.2019.03.068,Saccharina latissima,Yes,Mix,Membranipora membranacea and Obelia geniculata,6.8929881
Matsson et al. 2019,10.1016/j.aquaculture.2019.03.068,Saccharina latissima,Yes,Mix,Membranipora membranacea and Obelia geniculata,11.10314187
Matsson et al. 2019,10.1016/j.aquaculture.2019.03.068,Saccharina latissima,Yes,Mix,Membranipora membranacea and Obelia geniculata,59.72526
Mendoza-Becerril et al. 2020,10.7717/peerj.9795,Sargassum fluitans,No,Hydrozoa,Clytia noliformis,61.088978
Mendoza-Becerril et al. 2020,10.7717/peerj.9795,Sargassum natans I,No,Hydrozoa,Halopteris diaphana,58.897743
Mendoza-Becerril et al. 2020,10.7717/peerj.9795,Sargassum natans VIII,No,Hydrozoa,Aglaophenia latecarinata,48.937584
Mendoza-Becerril et al. 2020,10.7717/peerj.9795,Sargassum fluitans,No,Hydrozoa,NA,0
Mendoza-Becerril et al. 2020,10.7717/peerj.9795,Sargassum natans I,No,Hydrozoa,NA,0
Mendoza-Becerril et al. 2020,10.7717/peerj.9795,Sargassum natans VIII,No,Hydrozoa,Aglaophenia latecarinata,55.71049
Mendoza-Becerril et al. 2020,10.7717/peerj.9795,Sargassum fluitans,No,Hydrozoa,Clytia noliformis,47.742363
Mendoza-Becerril et al. 2020,10.7717/peerj.9795,Sargassum natans I,No,Hydrozoa,NA,0
Mendoza-Becerril et al. 2020,10.7717/peerj.9795,Sargassum natans VIII,No,Hydrozoa,Aglaophenia latecarinata,59.82736
Mendoza-Becerril et al. 2020,10.7717/peerj.9795,Sargassum fluitans,No,Hydrozoa,Clytia noliformis,30.411686
