Paper,Species,Category,Days,Proportion
Frontier unpublished data,Desmarestia menziesii,NA,76,1.003784607
Frontier unpublished data,Desmarestia menziesii,NA,76,1.051773883
Frontier unpublished data,Desmarestia menziesii,NA,76,0.98001724
Frontier unpublished data,Desmarestia menziesii,NA,76,1.096833783
Frontier unpublished data,Desmarestia menziesii,NA,183,0.09774823
Frontier unpublished data,Desmarestia menziesii,NA,183,0.184108629
Frontier unpublished data,Desmarestia menziesii,NA,183,0.224310322
Frontier unpublished data,Desmarestia menziesii,NA,183,0.678730135
Frontier unpublished data,Iridaea cordata,NA,0,1
Frontier unpublished data,Iridaea cordata,NA,17,0.503733876
Frontier unpublished data,Iridaea cordata,NA,17,0.742519394
Frontier unpublished data,Iridaea cordata,NA,17,0.687623981
Frontier unpublished data,Iridaea cordata,NA,17,0.281122928
Frontier unpublished data,Iridaea cordata,NA,40,0.699644265
Frontier unpublished data,Iridaea cordata,NA,40,0.527967042
Frontier unpublished data,Iridaea cordata,NA,40,0.386923365
Frontier unpublished data,Iridaea cordata,NA,40,0
Frontier unpublished data,Iridaea cordata,NA,76,0
Frontier unpublished data,Iridaea cordata,NA,76,0
Frontier unpublished data,Iridaea cordata,NA,76,0.499781469
Frontier unpublished data,Iridaea cordata,NA,76,0
Frontier unpublished data,Iridaea cordata,NA,183,0
Frontier unpublished data,Iridaea cordata,NA,183,0
Frontier unpublished data,Iridaea cordata,NA,183,0
Frontier unpublished data,Iridaea cordata,NA,183,0
Frontier unpublished data,Trematocarpus antarcticus,NA,0,1
Frontier unpublished data,Trematocarpus antarcticus,NA,17,1.009966777
Frontier unpublished data,Trematocarpus antarcticus,NA,17,0.480430035
Frontier unpublished data,Trematocarpus antarcticus,NA,17,1.041327939
Frontier unpublished data,Trematocarpus antarcticus,NA,17,1.802864364
Frontier unpublished data,Trematocarpus antarcticus,NA,40,1.191360438
Frontier unpublished data,Trematocarpus antarcticus,NA,40,1.295404814
Frontier unpublished data,Trematocarpus antarcticus,NA,40,1.246544042
Frontier unpublished data,Trematocarpus antarcticus,NA,40,0.685645859
Frontier unpublished data,Trematocarpus antarcticus,NA,76,1.365135769
Frontier unpublished data,Trematocarpus antarcticus,NA,76,2.151798175
Frontier unpublished data,Trematocarpus antarcticus,NA,76,0.986148456
Frontier unpublished data,Trematocarpus antarcticus,NA,76,2.038559906
Frontier unpublished data,Trematocarpus antarcticus,NA,183,1.53005103
Frontier unpublished data,Trematocarpus antarcticus,NA,183,1.470584086
Frontier unpublished data,Trematocarpus antarcticus,NA,183,2.258843176
Frontier unpublished data,Trematocarpus antarcticus,NA,183,1.444765127
Biddanda 1988,Dunaliella sp.,POC,0,1
Biddanda 1988,Dunaliella sp.,POC,1.030303,0.86449438
Biddanda 1988,Dunaliella sp.,POC,2.0363636,0.81932585
Biddanda 1988,Dunaliella sp.,POC,1.0424242,0.89280899
Biddanda 1988,Dunaliella sp.,POC,1.9878788,0.79573034
Biddanda 1988,Dunaliella sp.,POC,2,0.80786517
Biddanda 1988,Dunaliella sp.,POC,2,0.82202247
Biddanda 1988,Dunaliella sp.,POC,3.9636364,0.74651685
Biddanda 1988,Dunaliella sp.,POC,3.9757576,0.77078652
Biddanda 1988,Dunaliella sp.,POC,3.9636364,0.81056179
Biddanda 1988,Dunaliella sp.,POC,6.048485,0.68921348
Biddanda 1988,Dunaliella sp.,POC,6.0363636,0.70202246
Biddanda 1988,Dunaliella sp.,POC,8.024242,0.6649438
Biddanda 1988,Dunaliella sp.,POC,8,0.7377528
Biddanda 1988,Dunaliella sp.,POC,12.048485,0.57662922
Biddanda 1988,Dunaliella sp.,POC,12.036364,0.65078652
Biddanda 1988,Dunaliella sp.,POC,12.048485,0.6649438
Biddanda 1988,Dunaliella sp.,POC,16.012121,0.6069663
Biddanda 1988,Dunaliella sp.,POC,16.012121,0.68382022
Biddanda 1988,Dunaliella sp.,DOC,0,1
Biddanda 1988,Dunaliella sp.,DOC,1.0424242,0.85707866
Biddanda 1988,Dunaliella sp.,DOC,1.030303,0.879325844
Biddanda 1988,Dunaliella sp.,DOC,1.0666667,0.90224719
Biddanda 1988,Dunaliella sp.,DOC,2,0.84157303
Biddanda 1988,Dunaliella sp.,DOC,3.9757576,0.68112358
Biddanda 1988,Dunaliella sp.,DOC,3.9757576,0.7060674
Biddanda 1988,Dunaliella sp.,DOC,4,0.75797753
Biddanda 1988,Dunaliella sp.,DOC,6.0363636,0.6669663
Biddanda 1988,Dunaliella sp.,DOC,6.048485,0.7175281
Biddanda 1988,Dunaliella sp.,DOC,6.0242424,0.75258426
Biddanda 1988,Dunaliella sp.,DOC,8.012121,0.66966292
Biddanda 1988,Dunaliella sp.,DOC,8,0.72764045
Biddanda 1988,Dunaliella sp.,DOC,12.060606,0.59213483
Biddanda 1988,Dunaliella sp.,DOC,12.09697,0.61910114
Biddanda 1988,Dunaliella sp.,DOC,12.036364,0.67573035
Biddanda 1988,Synechococcus sp.,POC,0,1
Biddanda 1988,Synechococcus sp.,POC,1.0297409,0.92069836
Biddanda 1988,Synechococcus sp.,POC,1.0133685,0.90676596
Biddanda 1988,Synechococcus sp.,POC,0.9968176,0.88325443
Biddanda 1988,Synechococcus sp.,POC,1.9782851,0.80743875
Biddanda 1988,Synechococcus sp.,POC,1.9454429,0.77434896
Biddanda 1988,Synechococcus sp.,POC,3.9745815,0.7167637
Biddanda 1988,Synechococcus sp.,POC,3.9901912,0.6897671
Biddanda 1988,Synechococcus sp.,POC,3.9736564,0.6671264
Biddanda 1988,Synechococcus sp.,POC,5.9546676,0.62086454
Biddanda 1988,Synechococcus sp.,POC,5.970164,0.58777213
Biddanda 1988,Synechococcus sp.,POC,7.982573,0.49709624
Biddanda 1988,Synechococcus sp.,POC,7.9828973,0.5145128
Biddanda 1988,Synechococcus sp.,POC,11.912921,0.43418247
Biddanda 1988,Synechococcus sp.,POC,11.980293,0.59092835
Biddanda 1988,Synechococcus sp.,POC,15.90811,0.3921652
Biddanda 1988,Synechococcus sp.,DOC,0,1
Biddanda 1988,Synechococcus sp.,DOC,0.99504894,0.78833398
Biddanda 1988,Synechococcus sp.,DOC,0.9799746,0.84406796
Biddanda 1988,Synechococcus sp.,DOC,1.9604685,0.7160025
Biddanda 1988,Synechococcus sp.,DOC,1.960858,0.7369024
Biddanda 1988,Synechococcus sp.,DOC,3.989023,0.62706736
Biddanda 1988,Synechococcus sp.,DOC,1.9449886,0.74996573
Biddanda 1988,Synechococcus sp.,DOC,3.989315,0.64274228
Biddanda 1988,Synechococcus sp.,DOC,3.99183,0.7777209
Biddanda 1988,Synechococcus sp.,DOC,5.9375,0.5642615
Biddanda 1988,Synechococcus sp.,DOC,5.98652,0.6008337
Biddanda 1988,Synechococcus sp.,DOC,5.955057,0.64176446
Biddanda 1988,Synechococcus sp.,DOC,7.9832544,0.53367105
Biddanda 1988,Synechococcus sp.,DOC,8.0188875,0.71654359
Biddanda 1988,Synechococcus sp.,DOC,11.993939,0.45856136
Biddanda 1988,Synechococcus sp.,DOC,11.947613,0.56654686
Biddanda 1988,Synechococcus sp.,DOC,11.948262,0.60138005
Biddanda 1988,Synechococcus sp.,DOC,15.924515,0.40783924
Biddanda 1988,Cylindrotheca fusiformis,POC,0,1
Biddanda 1988,Cylindrotheca fusiformis,POC,1.0257955,0.92715925
Biddanda 1988,Cylindrotheca fusiformis,POC,1.0425284,0.91264976
Biddanda 1988,Cylindrotheca fusiformis,POC,2.020157,0.84478943
Biddanda 1988,Cylindrotheca fusiformis,POC,2.053336,0.82121252
Biddanda 1988,Cylindrotheca fusiformis,POC,3.9868886,0.79433072
Biddanda 1988,Cylindrotheca fusiformis,POC,3.9899962,0.73537487
Biddanda 1988,Cylindrotheca fusiformis,POC,6.0307827,0.79467832
Biddanda 1988,Cylindrotheca fusiformis,POC,6.015675,0.77834937
Biddanda 1988,Cylindrotheca fusiformis,POC,7.99608,0.77143
Biddanda 1988,Cylindrotheca fusiformis,POC,7.985084,0.67709792
Biddanda 1988,Cylindrotheca fusiformis,POC,11.988873,0.75668967
Biddanda 1988,Cylindrotheca fusiformis,POC,16.015419,0.7074883
Biddanda 1988,Cylindrotheca fusiformis,POC,16.014557,0.72381452
Biddanda 1988,Cylindrotheca fusiformis,DOC,0,1
Biddanda 1988,Cylindrotheca fusiformis,DOC,1.0294768,0.85731924
Biddanda 1988,Cylindrotheca fusiformis,DOC,2.0384676,0.8003485
Biddanda 1988,Cylindrotheca fusiformis,DOC,2.0554874,0.78039694
Biddanda 1988,Cylindrotheca fusiformis,DOC,2.0729852,0.75137523
Biddanda 1988,Cylindrotheca fusiformis,DOC,4.0078764,0.69909707
Biddanda 1988,Cylindrotheca fusiformis,DOC,3.957391,0.74806762
Biddanda 1988,Cylindrotheca fusiformis,DOC,3.9860759,0.80974993
Biddanda 1988,Cylindrotheca fusiformis,DOC,5.970353,0.72936252
Biddanda 1988,Cylindrotheca fusiformis,DOC,5.9742255,0.65589446
Biddanda 1988,Cylindrotheca fusiformis,DOC,6.008982,0.60238612
Biddanda 1988,Cylindrotheca fusiformis,DOC,7.956877,0.60634547
Biddanda 1988,Cylindrotheca fusiformis,DOC,7.952479,0.68979067
Biddanda 1988,Cylindrotheca fusiformis,DOC,11.996714,0.60793954
Biddanda 1988,Cylindrotheca fusiformis,DOC,12.009287,0.67234018
Biddanda 1988,Cylindrotheca fusiformis,DOC,15.934861,0.72107992
Newell et al. 1981,Skeletonema costatum,POC,0,1
Newell et al. 1981,Skeletonema costatum,POC,0.26429966,0.777178
Newell et al. 1981,Skeletonema costatum,POC,0.4567243,0.674129
Newell et al. 1981,Skeletonema costatum,POC,0.70364016,0.7892548
Newell et al. 1981,Skeletonema costatum,POC,1.0199193,0.75892
Newell et al. 1981,Skeletonema costatum,POC,1.2631469,0.733138
Newell et al. 1981,Skeletonema costatum,POC,1.4328073,0.6922121
Newell et al. 1981,Skeletonema costatum,POC,1.7490865,0.66187733
Newell et al. 1981,Skeletonema costatum,POC,1.9950505,0.7406398
Newell et al. 1981,Skeletonema costatum,POC,2.4839647,0.78301436
Newell et al. 1981,Skeletonema costatum,POC,2.9219964,0.7450916
Newell et al. 1981,Skeletonema costatum,POC,3.457668,0.7101893
Newell et al. 1981,Skeletonema costatum,POC,3.9947677,0.7298319
Newell et al. 1981,Skeletonema costatum,POC,4.8489,0.74792725
Newell et al. 1981,Skeletonema costatum,POC,5.9704914,0.7341777
Newell et al. 1981,Skeletonema costatum,POC,6.8730865,0.7401471
Newell et al. 1981,Skeletonema costatum,POC,7.917898,0.5885275
Newell et al. 1981,Skeletonema costatum,POC,13.984232,0.32731056
Newell et al. 1981,Skeletonema costatum,POC,21.033787,0.35690132
Newell et al. 1981,Phaeodactylum tricornutum,POC,0,1
Newell et al. 1981,Phaeodactylum tricornutum,POC,0.41112456,0.6729958
Newell et al. 1981,Phaeodactylum tricornutum,POC,0.60459495,0.7415612
Newell et al. 1981,Phaeodactylum tricornutum,POC,1.1124547,0.7320675
Newell et al. 1981,Phaeodactylum tricornutum,POC,1.1608223,0.7795359
Newell et al. 1981,Phaeodactylum tricornutum,POC,1.4026603,0.84704643
Newell et al. 1981,Phaeodactylum tricornutum,POC,1.6928657,0.8048523
Newell et al. 1981,Phaeodactylum tricornutum,POC,1.789601,0.76898736
Newell et al. 1981,Phaeodactylum tricornutum,POC,2.249093,0.7848101
Newell et al. 1981,Phaeodactylum tricornutum,POC,2.7085853,0.76687765
Newell et al. 1981,Phaeodactylum tricornutum,POC,3.095526,0.7985232
Newell et al. 1981,Phaeodactylum tricornutum,POC,3.5550182,0.73945147
Newell et al. 1981,Phaeodactylum tricornutum,POC,4.1354294,0.7468355
Newell et al. 1981,Phaeodactylum tricornutum,POC,5.1753325,0.7246835
Newell et al. 1981,Phaeodactylum tricornutum,POC,6.094317,0.68037975
Newell et al. 1981,Phaeodactylum tricornutum,POC,7.13422,0.68248945
Newell et al. 1981,Phaeodactylum tricornutum,POC,8.14994,0.65295357
Newell et al. 1981,Phaeodactylum tricornutum,POC,14.147521,0.4556962
Newell et al. 1981,Thalassiosira angstii,POC,0,1
Newell et al. 1981,Thalassiosira angstii,POC,0.16129032,0.6671271
Newell et al. 1981,Thalassiosira angstii,POC,0.516129,0.6864641
Newell et al. 1981,Thalassiosira angstii,POC,0.9354839,0.6712707
Newell et al. 1981,Thalassiosira angstii,POC,1.0645162,0.69889504
Newell et al. 1981,Thalassiosira angstii,POC,1.2258065,0.7831492
Newell et al. 1981,Thalassiosira angstii,POC,1.483871,0.73756903
Newell et al. 1981,Thalassiosira angstii,POC,1.7741935,0.76104975
Newell et al. 1981,Thalassiosira angstii,POC,2.1612904,0.7430939
Newell et al. 1981,Thalassiosira angstii,POC,2.548387,0.75276244
Newell et al. 1981,Thalassiosira angstii,POC,3.064516,0.73342544
Newell et al. 1981,Thalassiosira angstii,POC,3.451613,0.7555249
Newell et al. 1981,Thalassiosira angstii,POC,4.032258,0.69889504
Newell et al. 1981,Thalassiosira angstii,POC,5.032258,0.67265195
Newell et al. 1981,Thalassiosira angstii,POC,6.032258,0.6505525
Newell et al. 1981,Thalassiosira angstii,POC,7.032258,0.609116
Newell et al. 1981,Thalassiosira angstii,POC,8,0.628453
Newell et al. 1981,Thalassiosira angstii,POC,14,0.5290055
Newell et al. 1981,Thalassiosira angstii,POC,20.935484,0.47790056
Newell et al. 1981,Scrippsiella acuminata,POC,0,1
Newell et al. 1981,Scrippsiella acuminata,POC,0.2668278,0.6890601
Newell et al. 1981,Scrippsiella acuminata,POC,0.52292025,0.7357369
Newell et al. 1981,Scrippsiella acuminata,POC,0.77958316,0.7653062
Newell et al. 1981,Scrippsiella acuminata,POC,0.9742715,0.72177494
Newell et al. 1981,Scrippsiella acuminata,POC,1.2627256,0.7637885
Newell et al. 1981,Scrippsiella acuminata,POC,1.4898274,0.71403885
Newell et al. 1981,Scrippsiella acuminata,POC,1.8455977,0.66896486
Newell et al. 1981,Scrippsiella acuminata,POC,2.1340518,0.7109785
Newell et al. 1981,Scrippsiella acuminata,POC,2.555427,0.6301393
Newell et al. 1981,Scrippsiella acuminata,POC,3.6186929,0.61622494
Newell et al. 1981,Scrippsiella acuminata,POC,4.133419,0.6333725
Newell et al. 1981,Scrippsiella acuminata,POC,5.0683274,0.60545105
Newell et al. 1981,Scrippsiella acuminata,POC,6.131697,0.58842623
Newell et al. 1981,Scrippsiella acuminata,POC,7.099486,0.54028934
Newell et al. 1981,Skeletonema costatum,DOC,0,1
Newell et al. 1981,Skeletonema costatum,DOC,0.13399743,0.5877337
Newell et al. 1981,Skeletonema costatum,DOC,0.40267637,0.5542627
Newell et al. 1981,Skeletonema costatum,DOC,0.74437726,0.5336879
Newell et al. 1981,Skeletonema costatum,DOC,0.8681724,0.37390777
Newell et al. 1981,Skeletonema costatum,DOC,1.1124612,0.34043363
Newell et al. 1981,Skeletonema costatum,DOC,1.3322407,0.31726575
Newell et al. 1981,Skeletonema costatum,DOC,1.6980344,0.3224676
Newell et al. 1981,Skeletonema costatum,DOC,1.8682007,0.37145928
Newell et al. 1981,Skeletonema costatum,DOC,2.3808115,0.33544236
Newell et al. 1981,Skeletonema costatum,DOC,2.893095,0.3277763
Newell et al. 1981,Skeletonema costatum,DOC,3.4059439,0.27114058
Newell et al. 1981,Skeletonema costatum,DOC,3.8687925,0.32017
Newell et al. 1981,Skeletonema costatum,DOC,6.919591,0.14530294
Newell et al. 1981,Skeletonema costatum,DOC,7.8945155,0.20470776
Newell et al. 1981,Skeletonema costatum,DOC,13.845488,0.22609349
Newell et al. 1981,Skeletonema costatum,DOC,21.04057,0.22959806
Newell et al. 1981,Phaeodactylum tricornutum,DOC,0,1
Newell et al. 1981,Phaeodactylum tricornutum,DOC,0.33767068,1.0717928
Newell et al. 1981,Phaeodactylum tricornutum,DOC,0.5650837,0.84566945
Newell et al. 1981,Phaeodactylum tricornutum,DOC,0.98428077,0.7862702
Newell et al. 1981,Phaeodactylum tricornutum,DOC,1.1469705,0.59584194
Newell et al. 1981,Phaeodactylum tricornutum,DOC,1.3439926,0.16137566
Newell et al. 1981,Phaeodactylum tricornutum,DOC,1.5686569,0.25072846
Newell et al. 1981,Phaeodactylum tricornutum,DOC,1.8591855,0.17343378
Newell et al. 1981,Phaeodactylum tricornutum,DOC,2.0839536,0.25088182
Newell et al. 1981,Phaeodactylum tricornutum,DOC,2.6315079,0.2450924
Newell et al. 1981,Phaeodactylum tricornutum,DOC,3.1145465,0.25118855
Newell et al. 1981,Phaeodactylum tricornutum,DOC,3.6301544,0.21562764
Newell et al. 1981,Phaeodactylum tricornutum,DOC,4.1137633,0.1562476
Newell et al. 1981,Phaeodactylum tricornutum,DOC,5.0155845,0.15056361
Newell et al. 1981,Phaeodactylum tricornutum,DOC,6.109708,0.25207996
Newell et al. 1981,Phaeodactylum tricornutum,DOC,7.0445127,0.15711986
Newell et al. 1981,Phaeodactylum tricornutum,DOC,8.107312,0.15743616
Newell et al. 1981,Phaeodactylum tricornutum,DOC,14.096079,0.33779043
Newell et al. 1981,Phaeodactylum tricornutum,DOC,21.118603,0.15535618
Newell et al. 1981,Thalassiosira angstii,DOC,0,1
Newell et al. 1981,Thalassiosira angstii,DOC,0.14557812,0.72748065
Newell et al. 1981,Thalassiosira angstii,DOC,0.56581813,0.7102554
Newell et al. 1981,Thalassiosira angstii,DOC,0.69652003,0.58907044
Newell et al. 1981,Thalassiosira angstii,DOC,1.0522964,0.5588441
Newell et al. 1981,Thalassiosira angstii,DOC,1.2178138,0.22987244
Newell et al. 1981,Thalassiosira angstii,DOC,1.3805649,0.13033961
Newell et al. 1981,Thalassiosira angstii,DOC,1.8332716,0.100134276
Newell et al. 1981,Thalassiosira angstii,DOC,2.058816,0.15213165
Newell et al. 1981,Thalassiosira angstii,DOC,2.4792647,0.117590286
Newell et al. 1981,Thalassiosira angstii,DOC,3.0609508,0.109058104
Newell et al. 1981,Thalassiosira angstii,DOC,3.5141795,0.035562426
Newell et al. 1981,Thalassiosira angstii,DOC,3.9980478,0.10060285
Newell et al. 1981,Thalassiosira angstii,DOC,4.9350405,0.10080566
Newell et al. 1981,Thalassiosira angstii,DOC,6.001221,0.105365485
Newell et al. 1981,Thalassiosira angstii,DOC,7.0039825,0.010343526
Newell et al. 1981,Thalassiosira angstii,DOC,7.9728155,0.049514644
Newell et al. 1981,Thalassiosira angstii,DOC,20.962412,-0.025596553
Newell et al. 1981,Scrippsiella acuminata,DOC,0,1
Newell et al. 1981,Scrippsiella acuminata,DOC,0.18398233,0.5419445
Newell et al. 1981,Scrippsiella acuminata,DOC,0.6006953,0.9521124
Newell et al. 1981,Scrippsiella acuminata,DOC,0.858498,0.77200013
Newell et al. 1981,Scrippsiella acuminata,DOC,1.1482482,0.6574862
Newell et al. 1981,Scrippsiella acuminata,DOC,1.3107771,0.100255646
Newell et al. 1981,Scrippsiella acuminata,DOC,1.6320095,0.19887726
Newell et al. 1981,Scrippsiella acuminata,DOC,1.7302299,-0.35840604
Newell et al. 1981,Scrippsiella acuminata,DOC,2.1804929,-0.39082307
Newell et al. 1981,Scrippsiella acuminata,DOC,3.0487096,-0.40650448
Newell et al. 1981,Scrippsiella acuminata,DOC,3.627331,-0.35685107
Newell et al. 1981,Scrippsiella acuminata,DOC,4.1090245,-0.15973961
Newell et al. 1981,Scrippsiella acuminata,DOC,5.0734973,-0.10976992
Newell et al. 1981,Scrippsiella acuminata,DOC,6.070176,-0.07616688
Newell et al. 1981,Scrippsiella acuminata,DOC,7.066751,-0.009777824
Newell et al. 1981,Scrippsiella acuminata,DOC,8.128927,-0.35316133
Newell et al. 1981,Scrippsiella acuminata,DOC,14.1103945,-0.5941544
Newell et al. 1981,Scrippsiella acuminata,DOC,21.184227,-0.5555702
Kristensen and Holmer 2001,Skeletonema costatum,Fresh Aerobic DOC+CO2 1,0,1
Kristensen and Holmer 2001,Skeletonema costatum,Fresh Aerobic DOC+CO2 1,1.9149095,0.79357743
Kristensen and Holmer 2001,Skeletonema costatum,Fresh Aerobic DOC+CO2 1,4.954824,0.7302388
Kristensen and Holmer 2001,Skeletonema costatum,Fresh Aerobic DOC+CO2 1,6.926519,0.68903345
Kristensen and Holmer 2001,Skeletonema costatum,Fresh Aerobic DOC+CO2 1,8.953985,0.66837555
Kristensen and Holmer 2001,Skeletonema costatum,Fresh Aerobic DOC+CO2 1,11.968246,0.6474335
Kristensen and Holmer 2001,Skeletonema costatum,Fresh Aerobic DOC+CO2 1,13.968435,0.63050944
Kristensen and Holmer 2001,Skeletonema costatum,Fresh Aerobic DOC+CO2 1,15.968354,0.6091967
Kristensen and Holmer 2001,Skeletonema costatum,Fresh Aerobic DOC+CO2 1,18.982164,0.5823911
Kristensen and Holmer 2001,Skeletonema costatum,Fresh Aerobic DOC+CO2 1,20.982082,0.56270486
Kristensen and Holmer 2001,Skeletonema costatum,Fresh Aerobic DOC+CO2 1,23.009144,0.5394052
Kristensen and Holmer 2001,Skeletonema costatum,Fresh Aerobic CO2 1,0,1
Kristensen and Holmer 2001,Skeletonema costatum,Fresh Aerobic CO2 1,1.9176596,0.85993546
Kristensen and Holmer 2001,Skeletonema costatum,Fresh Aerobic CO2 1,4.930162,0.7913022
Kristensen and Holmer 2001,Skeletonema costatum,Fresh Aerobic CO2 1,6.9295397,0.7525708
Kristensen and Holmer 2001,Skeletonema costatum,Fresh Aerobic CO2 1,8.929729,0.7328984
Kristensen and Holmer 2001,Skeletonema costatum,Fresh Aerobic CO2 1,11.94417,0.71368307
Kristensen and Holmer 2001,Skeletonema costatum,Fresh Aerobic CO2 1,13.944495,0.6977776
Kristensen and Holmer 2001,Skeletonema costatum,Fresh Aerobic CO2 1,15.944459,0.6750792
Kristensen and Holmer 2001,Skeletonema costatum,Fresh Aerobic CO2 1,18.95854,0.6504926
Kristensen and Holmer 2001,Skeletonema costatum,Fresh Aerobic CO2 1,20.931091,0.62933373
Kristensen and Holmer 2001,Skeletonema costatum,Fresh Aerobic CO2 1,22.985924,0.6096612
Kristensen and Holmer 2001,Skeletonema costatum,Fresh Anaerobic S DOC+CO2 1,0,1
Kristensen and Holmer 2001,Skeletonema costatum,Fresh Anaerobic S DOC+CO2 1,1.9161267,0.8222928
Kristensen and Holmer 2001,Skeletonema costatum,Fresh Anaerobic S DOC+CO2 1,4.9582505,0.807082
Kristensen and Holmer 2001,Skeletonema costatum,Fresh Anaerobic S DOC+CO2 1,6.9587555,0.79326135
Kristensen and Holmer 2001,Skeletonema costatum,Fresh Anaerobic S DOC+CO2 1,8.904797,0.78793573
Kristensen and Holmer 2001,Skeletonema costatum,Fresh Anaerobic S DOC+CO2 1,11.974784,0.7836073
Kristensen and Holmer 2001,Skeletonema costatum,Fresh Anaerobic S DOC+CO2 1,13.948282,0.7793702
Kristensen and Holmer 2001,Skeletonema costatum,Fresh Anaerobic S DOC+CO2 1,15.949283,0.77719796
Kristensen and Holmer 2001,Skeletonema costatum,Fresh Anaerobic S DOC+CO2 1,18.964535,0.7749697
Kristensen and Holmer 2001,Skeletonema costatum,Fresh Anaerobic S DOC+CO2 1,20.938034,0.77077925
Kristensen and Holmer 2001,Skeletonema costatum,Fresh Anaerobic S DOC+CO2 1,22.93899,0.7676197
Kristensen and Holmer 2001,Skeletonema costatum,Fresh Anaerobic S CO2 1,0,1
Kristensen and Holmer 2001,Skeletonema costatum,Fresh Anaerobic S CO2 1,1.919914,0.9184451
Kristensen and Holmer 2001,Skeletonema costatum,Fresh Anaerobic S CO2 1,4.851983,0.89084554
Kristensen and Holmer 2001,Skeletonema costatum,Fresh Anaerobic S CO2 1,6.9074926,0.88020974
Kristensen and Holmer 2001,Skeletonema costatum,Fresh Anaerobic S CO2 1,8.908403,0.87544835
Kristensen and Holmer 2001,Skeletonema costatum,Fresh Anaerobic S CO2 1,11.950978,0.8706411
Kristensen and Holmer 2001,Skeletonema costatum,Fresh Anaerobic S CO2 1,13.924521,0.86707413
Kristensen and Holmer 2001,Skeletonema costatum,Fresh Anaerobic S CO2 1,15.952935,0.86465555
Kristensen and Holmer 2001,Skeletonema costatum,Fresh Anaerobic S CO2 1,18.940775,0.8621784
Kristensen and Holmer 2001,Skeletonema costatum,Fresh Anaerobic S CO2 1,20.914318,0.8586461
Kristensen and Holmer 2001,Skeletonema costatum,Fresh Anaerobic S CO2 1,22.942778,0.857379
Kristensen and Holmer 2001,Skeletonema costatum,Fresh Aerobic DOC+CO2 2,0,1
Kristensen and Holmer 2001,Skeletonema costatum,Fresh Aerobic DOC+CO2 2,1.9188596,0.7087368
Kristensen and Holmer 2001,Skeletonema costatum,Fresh Aerobic DOC+CO2 2,3.9473684,0.6375002
Kristensen and Holmer 2001,Skeletonema costatum,Fresh Aerobic DOC+CO2 2,6.935307,0.58803314
Kristensen and Holmer 2001,Skeletonema costatum,Fresh Aerobic DOC+CO2 2,8.963816,0.5562236
Kristensen and Holmer 2001,Skeletonema costatum,Fresh Aerobic DOC+CO2 2,11.019737,0.5303314
Kristensen and Holmer 2001,Skeletonema costatum,Fresh Aerobic DOC+CO2 2,14.007675,0.4957005
Kristensen and Holmer 2001,Skeletonema costatum,Fresh Aerobic DOC+CO2 2,16.008772,0.4821067
Kristensen and Holmer 2001,Skeletonema costatum,Fresh Aerobic DOC+CO2 2,18.99671,0.46394497
Kristensen and Holmer 2001,Skeletonema costatum,Fresh Aerobic DOC+CO2 2,20.997807,0.43768728
Kristensen and Holmer 2001,Skeletonema costatum,Fresh Aerobic DOC+CO2 2,23.026316,0.42399675
Kristensen and Holmer 2001,Skeletonema costatum,Fresh Aerobic CO2 2,0,1
Kristensen and Holmer 2001,Skeletonema costatum,Fresh Aerobic CO2 2,1.9462719,0.7592555
Kristensen and Holmer 2001,Skeletonema costatum,Fresh Aerobic CO2 2,3.9199562,0.6911286
Kristensen and Holmer 2001,Skeletonema costatum,Fresh Aerobic CO2 2,6.935307,0.64343655
Kristensen and Holmer 2001,Skeletonema costatum,Fresh Aerobic CO2 2,8.963816,0.6126728
Kristensen and Holmer 2001,Skeletonema costatum,Fresh Aerobic CO2 2,10.9375,0.58803314
Kristensen and Holmer 2001,Skeletonema costatum,Fresh Aerobic CO2 2,13.980263,0.5547525
Kristensen and Holmer 2001,Skeletonema costatum,Fresh Aerobic CO2 2,15.9813595,0.5416868
Kristensen and Holmer 2001,Skeletonema costatum,Fresh Aerobic CO2 2,18.99671,0.52404886
Kristensen and Holmer 2001,Skeletonema costatum,Fresh Aerobic CO2 2,20.942982,0.49899322
Kristensen and Holmer 2001,Skeletonema costatum,Fresh Aerobic CO2 2,22.998903,0.48595214
Kristensen and Holmer 2001,Skeletonema costatum,Fresh Anaerobic S DOC+CO2 2,0,1
Kristensen and Holmer 2001,Skeletonema costatum,Fresh Anaerobic S DOC+CO2 2,1.8914474,0.7482769
Kristensen and Holmer 2001,Skeletonema costatum,Fresh Anaerobic S DOC+CO2 2,3.9473684,0.71155775
Kristensen and Holmer 2001,Skeletonema costatum,Fresh Anaerobic S DOC+CO2 2,6.935307,0.6984886
Kristensen and Holmer 2001,Skeletonema costatum,Fresh Anaerobic S DOC+CO2 2,8.991228,0.6838462
Kristensen and Holmer 2001,Skeletonema costatum,Fresh Anaerobic S DOC+CO2 2,10.992325,0.6793336
Kristensen and Holmer 2001,Skeletonema costatum,Fresh Anaerobic S DOC+CO2 2,13.980263,0.66951066
Kristensen and Holmer 2001,Skeletonema costatum,Fresh Anaerobic S DOC+CO2 2,16.008772,0.66685635
Kristensen and Holmer 2001,Skeletonema costatum,Fresh Anaerobic S DOC+CO2 2,18.969297,0.662456
Kristensen and Holmer 2001,Skeletonema costatum,Fresh Anaerobic S DOC+CO2 2,20.942982,0.6537421
